correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
,,referencia_estatica/import_fqn,0.835379,test-smells-camel,/core/camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,/components/camel-atomix/src/test/java/org/apache/camel/component/atomix/client/queue/AtomixQueueConsumerTest.java,referencia_estatica,import_fqn,1,5148,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/core/camel-core/src/main/java/org/apache/camel/builder/RouteBuilder.java,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/components/camel-atomix/src/test/java/org/apache/camel/component/atomix/client/queue/AtomixQueueConsumerTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-ignite,/modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,/modules/core/src/test/java/org/apache/ignite/internal/processors/cache/GridCachePreloadingEvictionsSelfTest.java,referencia_estatica,mesmo_pacote,1,86,https://github.com/cristianritter/test-smells-ignite/blob/7a7c407ea41477aae8508bfe871b4e9a67e1b277/modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheAdapter.java,https://github.com/cristianritter/test-smells-ignite/blob/7a7c407ea41477aae8508bfe871b4e9a67e1b277/modules/core/src/test/java/org/apache/ignite/internal/processors/cache/GridCachePreloadingEvictionsSelfTest.java
s,mesmo pacote odaconsumer,caminho_exato,0.040014,test-smells-birt,/data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/odaconsumer/PreparedStatement.java,/data/org.eclipse.birt.data.tests/test/org/eclipse/birt/data/engine/odaconsumer/PreparedStatementTest.java,caminho_exato,,0,11,https://github.com/cristianritter/test-smells-birt/blob/f89264810347de98702db45386a822aabc0fadbf/data/org.eclipse.birt.data/src/org/eclipse/birt/data/engine/odaconsumer/PreparedStatement.java,https://github.com/cristianritter/test-smells-birt/blob/f89264810347de98702db45386a822aabc0fadbf/data/org.eclipse.birt.data.tests/test/org/eclipse/birt/data/engine/odaconsumer/PreparedStatementTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-camel,/components/camel-quickfix/src/main/java/org/apache/camel/component/quickfixj/QuickfixjEndpoint.java,/components/camel-quickfix/src/test/java/org/apache/camel/component/quickfixj/QuickfixjLazyProducerTest.java,referencia_estatica,mesmo_pacote,1,5,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/components/camel-quickfix/src/main/java/org/apache/camel/component/quickfixj/QuickfixjEndpoint.java,https://github.com/cristianritter/test-smells-camel/blob/8a85a70643c4d6eec2d3abddeea44ecb06c2f486/components/camel-quickfix/src/test/java/org/apache/camel/component/quickfixj/QuickfixjLazyProducerTest.java
s,mesmo pacote; o teste exercita SoapBindingFactory,caminho_exato,0.040014,test-smells-cxf,/rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/SoapBindingFactory.java,/rt/bindings/soap/src/test/java/org/apache/cxf/binding/soap/SoapBindingFactoryTest.java,caminho_exato,,0,6,https://github.com/cristianritter/test-smells-cxf/blob/6bf89e9c8804c8845ec4d38583dd33eea8256439/rt/bindings/soap/src/main/java/org/apache/cxf/binding/soap/SoapBindingFactory.java,https://github.com/cristianritter/test-smells-cxf/blob/6bf89e9c8804c8845ec4d38583dd33eea8256439/rt/bindings/soap/src/test/java/org/apache/cxf/binding/soap/SoapBindingFactoryTest.java
s,"importa java.sql.SQLInvalidAuthorizationSpecException, pacote exato; 37 mencoes construindo a excecao",convencao/caminho_espelhado,0.002964,test-smells-SapMachine,/src/java.sql/share/classes/java/sql/SQLInvalidAuthorizationSpecException.java,/test/jdk/java/sql/testng/test/sql/SQLInvalidAuthorizationSpecExceptionTests.java,convencao,caminho_espelhado,0,1,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/src/java.sql/share/classes/java/sql/SQLInvalidAuthorizationSpecException.java,https://github.com/cristianritter/test-smells-SapMachine/blob/6e62561730c46dc5000c39665c43951832192ceb/test/jdk/java/sql/testng/test/sql/SQLInvalidAuthorizationSpecExceptionTests.java
s,mesmo pacote; exercita SackStrategy.build(),convencao/caminho_espelhado,0.002964,test-smells-tinkerpop,/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/strategy/decoration/SackStrategy.java,/gremlin-core/src/test/java/org/apache/tinkerpop/gremlin/process/traversal/strategy/decoration/SackStrategyTest.java,convencao,caminho_espelhado,0,1,https://github.com/cristianritter/test-smells-tinkerpop/blob/7d9df0f0acf08f9e675ca7b337fc5e0243c09b53/gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/strategy/decoration/SackStrategy.java,https://github.com/cristianritter/test-smells-tinkerpop/blob/7d9df0f0acf08f9e675ca7b337fc5e0243c09b53/gremlin-core/src/test/java/org/apache/tinkerpop/gremlin/process/traversal/strategy/decoration/SackStrategyTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-alibaba-druid,/src/main/java/com/alibaba/druid/pool/DruidDataSource.java,/src/test/java/com/alibaba/druid/pool/TestIdle3_Concurrent_MaxActive.java,referencia_estatica,mesmo_pacote,1,247,https://github.com/cristianritter/test-smells-alibaba-druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/main/java/com/alibaba/druid/pool/DruidDataSource.java,https://github.com/cristianritter/test-smells-alibaba-druid/blob/768469fe4d1340efe1036453366a58c9ab7e30d1/src/test/java/com/alibaba/druid/pool/TestIdle3_Concurrent_MaxActive.java
,,referencia_estatica/wildcard,0.007944,test-smells-rabbitmq-java-client,/src/main/java/com/rabbitmq/client/Connection.java,/src/test/java/com/rabbitmq/client/test/RpcTest.java,referencia_estatica,wildcard,1,20,https://github.com/cristianritter/test-smells-rabbitmq-java-client/blob/8bc24bdce4da758f7be4f4451a46ab185058b272/src/main/java/com/rabbitmq/client/Connection.java,https://github.com/cristianritter/test-smells-rabbitmq-java-client/blob/8bc24bdce4da758f7be4f4451a46ab185058b272/src/test/java/com/rabbitmq/client/test/RpcTest.java
,,referencia_estatica/wildcard,0.007944,test-smells-tajo,/tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/TablespaceManager.java,/tajo-core-tests/src/test/java/org/apache/tajo/engine/query/TestJoinQuery.java,referencia_estatica,wildcard,1,47,https://github.com/cristianritter/test-smells-tajo/blob/fb326195083959014c82c10187cb46de91ece33f/tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/TablespaceManager.java,https://github.com/cristianritter/test-smells-tajo/blob/fb326195083959014c82c10187cb46de91ece33f/tajo-core-tests/src/test/java/org/apache/tajo/engine/query/TestJoinQuery.java
