github_repo,status,n_producao,n_testes,n_pares,segundos,detalhe
test-smells-incubator-heron,OK,6,181,2,4,
test-smells-incubator-hivemall,OK,4,153,5,2,
test-smells-incubator-hudi,OK,3,55,19,3,
test-smells-incubator-myriad,OK,1,33,1,1,
test-smells-incubator-pinot,OK,10,457,32,5,
test-smells-incubator-ratis,OK,2,56,0,2,
test-smells-incubator-samoa,OK,2,27,0,1,
test-smells-incubator-sentry,OK,5,208,0,3,
test-smells-incubator-taverna-common-activities,OK,1,35,0,2,
test-smells-incubator-taverna-engine,OK,3,50,0,2,
test-smells-incubator-taverna-workbench,OK,5,18,4,2,
test-smells-incubator-tez,OK,3,78,8,2,
test-smells-ion-java,OK,3,105,12,2,
test-smells-j2cl,OK,11,143,1,2,
test-smells-j2objc,OK,43,830,143,11,
test-smells-james-mime4j,OK,2,90,1,2,
test-smells-james-project,OK,24,1400,52,9,
test-smells-january,OK,1,60,2,3,
test-smells-janusgraph-utils,OK,1,0,0,0,projeto sem classe de teste
test-smells-java-buildpack-dependency-builder,OK,1,0,0,0,projeto sem classe de teste
test-smells-java-debug,OK,3,14,0,1,
test-smells-jclouds,OK,22,872,35,7,
test-smells-jena,OK,17,883,150,8,
test-smells-jetty.project,OK,20,728,189,8,
test-smells-jgit,OK,15,418,71,5,
test-smells-jimfs,OK,1,43,0,2,
test-smells-jnosql,OK,5,236,8,2,
test-smells-joshua,OK,2,50,0,2,
test-smells-jsinterop-generator,OK,2,0,0,0,projeto sem classe de teste
test-smells-jspwiki,OK,5,98,33,6,
test-smells-jstorm,OK,16,47,3,4,
test-smells-juneau,OK,7,281,3,4,
test-smells-jvm-sandbox,OK,4,11,0,1,
test-smells-kafka,OK,10,494,100,5,
test-smells-kapua,OK,19,101,13,2,
test-smells-karaf,OK,4,208,0,3,
test-smells-karaf-cellar,OK,1,18,0,1,
test-smells-knox,OK,4,251,3,5,
test-smells-kura,OK,10,178,8,4,
test-smells-lens,OK,3,168,7,3,
test-smells-leshan,OK,2,43,4,2,
test-smells-li-apache-kafka-clients,OK,1,18,1,1,
test-smells-litho,OK,7,238,22,3,
test-smells-logging-chainsaw,OK,2,6,0,2,
test-smells-logging-flume,OK,9,214,10,4,
test-smells-logging-log4j-audit,OK,1,10,0,1,
test-smells-lsp4j,OK,5,35,0,2,
test-smells-lucene-solr,OK,62,1425,142,12,
test-smells-m2e-core,OK,5,5,1,2,
test-smells-mahout,OK,5,266,5,4,
test-smells-malmo,OK,3,0,0,0,projeto sem classe de teste
test-smells-maps-app-android,OK,1,1,0,1,
test-smells-marmotta,OK,7,144,5,2,
test-smells-maven,OK,3,114,0,3,
test-smells-maven-archetype,OK,1,7,0,2,
test-smells-maven-checkstyle-plugin,OK,1,9,0,2,
test-smells-maven-compiler-plugin,OK,1,41,0,2,
test-smells-maven-indexer,OK,3,24,1,2,
test-smells-maven-javadoc-plugin,OK,1,27,1,3,
test-smells-maven-plugins,OK,4,318,2,4,
test-smells-maven-resolver,OK,2,100,4,2,
test-smells-maven-scm,OK,3,69,0,3,
test-smells-maven-surefire,OK,3,514,7,4,
test-smells-metamodel,OK,1,175,2,3,
test-smells-metron,OK,7,369,20,4,
test-smells-microprofile-opentracing,OK,1,5,1,2,
test-smells-milo,OK,17,68,0,2,
test-smells-mina,OK,1,74,1,2,
test-smells-mina-sshd,OK,7,206,21,4,
test-smells-mobile-buy-sdk-android,OK,2,1,0,2,
test-smells-mssql-jdbc,OK,3,82,2,3,
test-smells-myfaces-tobago,OK,3,62,0,2,
test-smells-n4js,OK,26,177,3,5,
test-smells-nattable,OK,9,251,5,4,
test-smells-netbeans-html4j,OK,3,74,4,2,
test-smells-nifi,OK,28,787,61,10,
test-smells-nifi-minifi,OK,1,50,1,3,
test-smells-nifi-registry,OK,2,29,1,3,
test-smells-nomulus,OK,10,469,14,4,
test-smells-oci-java-sdk,OK,41,38,2,2,
test-smells-og,OK,3,57,2,2,
test-smells-olingo-jpa-processor-v4,OK,4,77,13,2,
test-smells-olingo-odata2,OK,1,293,1,5,
test-smells-olingo-odata4,OK,6,196,2,3,
test-smells-oodt,OK,7,203,9,3,
test-smells-oozie,OK,8,223,15,3,
test-smells-openejb,OK,19,636,15,6,
test-smells-opengrok,OK,3,218,5,3,
test-smells-openj9,OK,19,359,2,5,
test-smells-openjpa,OK,10,132,18,3,
test-smells-openmeetings,OK,1,70,0,2,
test-smells-opennlp,OK,3,197,1,3,
test-smells-openwebbeans,OK,4,260,3,3,
test-smells-openwebbeans-meecrowave,OK,1,47,0,1,
test-smells-org.eclipse.linuxtools,OK,11,289,15,3,
test-smells-org.eclipse.rap,OK,37,584,72,15,
test-smells-orion.server,OK,7,79,2,4,
test-smells-otter,OK,4,75,6,3,
test-smells-packagedrone,OK,14,54,2,3,
test-smells-paho.mqtt.java,OK,4,54,6,3,
test-smells-pai,OK,1,10,0,3,
test-smells-parquet-java,OK,4,172,26,4,
test-smells-parseq,OK,4,63,1,2,
test-smells-pgql-lang,OK,1,12,0,3,
test-smells-phoenix,OK,18,198,17,3,
test-smells-phoenix-omid,OK,1,61,1,2,
test-smells-physical-web,OK,2,8,1,1,
test-smells-pivot,OK,10,44,8,2,
test-smells-plc4x,OK,1,166,0,2,
test-smells-polygene-java,OK,15,371,1,3,
test-smells-portals-pluto,OK,8,70,1,2,
test-smells-project-rome,OK,2,2,0,2,
test-smells-protobuf-dt,OK,2,154,0,2,
test-smells-pulsar,OK,10,428,42,5,
test-smells-qpid,OK,2,0,0,0,projeto sem classe de teste
test-smells-qpid-broker-j,OK,19,516,28,6,
test-smells-qpid-jms,OK,4,228,8,4,
test-smells-qpid-proton-j,OK,1,73,0,3,
test-smells-rabbitmq-java-client,OK,3,58,22,2,
test-smells-rabbitmq-jms-client,OK,1,18,1,1,
test-smells-ranger,OK,7,127,11,2,
test-smells-rave,OK,1,7,2,1,
test-smells-rdf4j,OK,6,114,0,3,
test-smells-reactive-streams-commons,OK,1,117,0,2,
test-smells-reactor-core,OK,5,339,5,3,
test-smells-reactor-kafka,OK,1,16,1,1,
test-smells-reactor-netty,OK,3,40,3,3,
test-smells-reddeer,OK,7,233,2,2,
test-smells-reef,OK,6,150,3,4,
test-smells-rejoiner,OK,1,10,0,2,
test-smells-rest.li,OK,17,511,58,6,
test-smells-ringdroid,OK,1,0,0,0,projeto sem classe de teste
test-smells-robolectric,OK,14,489,20,4,
test-smells-rocketmq-externals,OK,4,56,0,2,
test-smells-royale-compiler,OK,20,176,0,3,
