correto,observacao,estrato_auditoria,peso_no_universo,github_repo,production_path,test_path,metodo,evidencia,ambiguo,n_testes_da_producao,url_producao,url_teste
,,referencia_estatica/wildcard,0.007944,test-smells-tajo,/tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/TablespaceManager.java,/tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/storage/regex/TestRegexSerDe.java,referencia_estatica,wildcard,1,47,https://github.com/cristianritter/test-smells-tajo/blob/fb326195083959014c82c10187cb46de91ece33f/tajo-storage/tajo-storage-common/src/main/java/org/apache/tajo/storage/TablespaceManager.java,https://github.com/cristianritter/test-smells-tajo/blob/fb326195083959014c82c10187cb46de91ece33f/tajo-storage/tajo-storage-hdfs/src/test/java/org/apache/tajo/storage/regex/TestRegexSerDe.java
,,convencao,0.005513,test-smells-accumulo,/server/base/src/main/java/org/apache/accumulo/server/client/BulkImporter.java,/server/base/src/test/java/org/apache/accumulo/server/client/BulkImporterTest.java,convencao,,0,1,https://github.com/cristianritter/test-smells-accumulo/blob/f896c98c2356a52dfa2235d2cc02ae556ab17909/server/base/src/main/java/org/apache/accumulo/server/client/BulkImporter.java,https://github.com/cristianritter/test-smells-accumulo/blob/f896c98c2356a52dfa2235d2cc02ae556ab17909/server/base/src/test/java/org/apache/accumulo/server/client/BulkImporterTest.java
,,convencao,0.005513,test-smells-xtext-eclipse,/org.eclipse.xtext.common.types.ui/src/org/eclipse/xtext/common/types/xtext/ui/JdtVariableCompletions.java,/org.eclipse.xtext.common.types.eclipse.tests/tests/org/eclipse/xtext/common/types/xtext/ui/JdtVariableCompletionsTest.java,convencao,,0,1,https://github.com/cristianritter/test-smells-xtext-eclipse/blob/0c7546b6aaf3644a77fc68eef9f3da368cbbeabd/org.eclipse.xtext.common.types.ui/src/org/eclipse/xtext/common/types/xtext/ui/JdtVariableCompletions.java,https://github.com/cristianritter/test-smells-xtext-eclipse/blob/0c7546b6aaf3644a77fc68eef9f3da368cbbeabd/org.eclipse.xtext.common.types.eclipse.tests/tests/org/eclipse/xtext/common/types/xtext/ui/JdtVariableCompletionsTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-hadoop-common,/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/RPC.java,/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestIPCServerResponder.java,referencia_estatica,mesmo_pacote,1,23,https://github.com/cristianritter/test-smells-hadoop-common/blob/42a61a4fbc88303913c4681f0d40ffcc737e70b5/hadoop-common-project/hadoop-common/src/main/java/org/apache/hadoop/ipc/RPC.java,https://github.com/cristianritter/test-smells-hadoop-common/blob/42a61a4fbc88303913c4681f0d40ffcc737e70b5/hadoop-common-project/hadoop-common/src/test/java/org/apache/hadoop/ipc/TestIPCServerResponder.java
,,referencia_estatica/import_fqn,0.835379,test-smells-fineract,/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/common/Utils.java,/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/AccountingScenarioIntegrationTest.java,referencia_estatica,import_fqn,1,67,https://github.com/cristianritter/test-smells-fineract/blob/210e380df3ca5c74c8c2fa09e7fe1cffdb87e20a/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/common/Utils.java,https://github.com/cristianritter/test-smells-fineract/blob/210e380df3ca5c74c8c2fa09e7fe1cffdb87e20a/fineract-provider/src/integrationTest/java/org/apache/fineract/integrationtests/AccountingScenarioIntegrationTest.java
,,referencia_estatica/import_fqn,0.835379,test-smells-avro,/lang/java/avro/src/main/java/org/apache/avro/Schema.java,/lang/java/avro/src/test/java/org/apache/avro/reflect/TestByteBuffer.java,referencia_estatica,import_fqn,1,114,https://github.com/cristianritter/test-smells-avro/blob/1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/avro/src/main/java/org/apache/avro/Schema.java,https://github.com/cristianritter/test-smells-avro/blob/1119b6eb5b92730b27e9798793bc67f192591c15/lang/java/avro/src/test/java/org/apache/avro/reflect/TestByteBuffer.java
,,referencia_estatica/wildcard,0.007944,test-smells-chukwa,/src/main/java/org/apache/hadoop/chukwa/analysis/salsa/fsm/FSMIntermedEntryPartitioner.java,/src/test/java/org/apache/hadoop/chukwa/analysis/salsa/fsm/TestFSMBuilder.java,referencia_estatica,wildcard,0,1,https://github.com/cristianritter/test-smells-chukwa/blob/65f6972859115a4ddad6def06475465f0971e9ae/src/main/java/org/apache/hadoop/chukwa/analysis/salsa/fsm/FSMIntermedEntryPartitioner.java,https://github.com/cristianritter/test-smells-chukwa/blob/65f6972859115a4ddad6def06475465f0971e9ae/src/test/java/org/apache/hadoop/chukwa/analysis/salsa/fsm/TestFSMBuilder.java
,,convencao,0.005513,test-smells-guava,/android/guava/src/com/google/common/collect/Tables.java,/android/guava-tests/test/com/google/common/collect/TablesTest.java,convencao,,1,4,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/android/guava/src/com/google/common/collect/Tables.java,https://github.com/cristianritter/test-smells-guava/blob/be92294be598b9b6ff0bd1cae3335759dafcb534/android/guava-tests/test/com/google/common/collect/TablesTest.java
,,referencia_estatica/mesmo_pacote,0.111151,test-smells-gef,/org.eclipse.gef.geometry.tests/src/org/eclipse/gef/geometry/tests/RectangleTests.java,/org.eclipse.gef.geometry.tests/src/org/eclipse/gef/geometry/tests/RectangleTests.java,referencia_estatica,mesmo_pacote,1,2,https://github.com/cristianritter/test-smells-gef/blob/8f2649b90ab14a1bb010188036d4eedf7586e123/org.eclipse.gef.geometry.tests/src/org/eclipse/gef/geometry/tests/RectangleTests.java,https://github.com/cristianritter/test-smells-gef/blob/8f2649b90ab14a1bb010188036d4eedf7586e123/org.eclipse.gef.geometry.tests/src/org/eclipse/gef/geometry/tests/RectangleTests.java
,,referencia_estatica/wildcard,0.007944,test-smells-jena,/jena-core/src/main/java/org/apache/jena/graph/Graph.java,/jena-core/src/test/java/org/apache/jena/reasoner/rulesys/test/TestFBRules.java,referencia_estatica,wildcard,1,127,https://github.com/cristianritter/test-smells-jena/blob/1cca775bbf0bb0fd3ee8ac55e31f0f30cdde3b77/jena-core/src/main/java/org/apache/jena/graph/Graph.java,https://github.com/cristianritter/test-smells-jena/blob/1cca775bbf0bb0fd3ee8ac55e31f0f30cdde3b77/jena-core/src/test/java/org/apache/jena/reasoner/rulesys/test/TestFBRules.java
,,referencia_estatica/import_fqn,0.835379,test-smells-brooklyn-server,/utils/common/src/main/java/org/apache/brooklyn/util/time/Time.java,/core/src/test/java/org/apache/brooklyn/util/core/task/ScheduledExecutionTest.java,referencia_estatica,import_fqn,1,47,https://github.com/cristianritter/test-smells-brooklyn-server/blob/880eb1da00f6358d7fd76d065322e3685bfb1a04/utils/common/src/main/java/org/apache/brooklyn/util/time/Time.java,https://github.com/cristianritter/test-smells-brooklyn-server/blob/880eb1da00f6358d7fd76d065322e3685bfb1a04/core/src/test/java/org/apache/brooklyn/util/core/task/ScheduledExecutionTest.java
